Data Size,Time,Iterations
100,94100,1959
200,101000,8014
300,33500,16604
400,53600,31605
500,89900,50613
600,74900,65299
700,96200,82976
800,138100,127764
900,165700,155982
1000,187800,187115
1100,233600,222279
1200,264100,252612
1300,301800,290155
1400,334600,327092
1500,369100,366018
1600,490400,502036
1700,553700,575821
1800,578500,629672
1900,642900,684197
2000,689200,706494
2100,856000,868582
2200,892400,910019
2300,947600,950612
2400,1013700,1038788
2500,1070100,1061522
2600,1223100,1249673
2700,1256800,1273394
2800,1436600,1365755
2900,1389100,1419785
3000,1457300,1470352
3100,1927400,1973536
3200,1959500,2106011
3300,1919800,2124691
3400,2039800,2264194
3500,2123500,2374755
3600,2276100,2515145
3700,2244100,2559414
3800,2344700,2696787
3900,2504600,2862794
4000,2682900,2990483
4100,3085600,3317344
4200,2936200,3347070
4300,3017900,3440895
4400,3168700,3497977
4500,3265800,3643520
4600,3366300,3785505
4700,3545300,3990218
4800,3625400,4140024
4900,3726100,4222107
5000,3811200,4353777
5100,3890800,4427606
5200,4352900,4984103
5300,4410700,5016076
5400,4574300,5122110
5500,4669700,5232012
5600,4802300,5343842
5700,4896500,5505507
5800,5061500,5799544
5900,5184700,5913971
6000,5318100,6007542
6100,5288700,6012274
6200,7014000,7948765
6300,7111700,8072001
6400,7019300,8139950
6500,7539000,8417622
6600,7813700,8750139
6700,7664000,8869578
6800,7600500,8978010
6900,7929200,8981149
7000,8552600,9603788
7100,8533800,9886807
7200,8758500,9919681
7300,9018200,10209011
7400,9177600,10425994
7500,9170800,10526399
7600,9255300,10649419
7700,10127600,11327984
7800,10309900,11535189
7900,10370600,11583351
8000,10494900,11880913
8100,10945100,11881543
8200,11379100,12973256
8300,11714500,13356753
8400,11948700,13593854
8500,12261100,13714954
8600,12088600,13874349
8700,12562400,13939418
8800,12627900,14383083
8900,13038000,14693090
9000,13732400,14999902
9100,13261000,14806925
9200,13264600,15286973
9300,14169800,15827334
9400,13253800,15675270
9500,14159400,16056138
9600,14169300,16207697
9700,14442500,16567553
9800,14681300,16726695
9900,14866600,16761053
10000,15013200,17169261
